huc12_id,year,pscutot_mgd
050400020805,2016,0.0
050400020805,2017,0.0
050400020805,2018,0.0
050400020805,2019,0.0
050400020805,2020,0.0
050400020806,2010,0.0
050400020806,2011,0.0
050400020806,2012,0.0
050400020806,2013,0.0
050400020806,2014,0.0
050400020806,2015,0.0
050400020806,2016,0.0
050400020806,2017,0.0
050400020806,2018,0.0
050400020806,2019,0.0
050400020806,2020,0.0
050400030101,2010,0.0
050400030101,2011,0.0
050400030101,2012,0.0
050400030101,2013,0.0
050400030101,2014,0.0
050400030101,2015,0.0
050400030101,2016,0.0
050400030101,2017,0.0
050400030101,2018,0.0
050400030101,2019,0.0
050400030101,2020,0.0
050400030102,2010,0.0
050400030102,2011,0.0
050400030102,2012,0.0
050400030102,2013,0.0
050400030102,2014,0.0
050400030102,2015,0.0
050400030102,2016,0.0
050400030102,2017,0.0
050400030102,2018,0.0
050400030102,2019,0.0
050400030102,2020,0.0
050400030103,2010,0.019320605
050400030103,2011,0.018391903
050400030103,2012,0.023378356
050400030103,2013,0.021353383
050400030103,2014,0.021133439
050400030103,2015,0.027009511
050400030103,2016,0.028701136
050400030103,2017,0.027678086
050400030103,2018,0.019260794
050400030103,2019,0.020771449
050400030103,2020,0.019653071
050400030201,2010,0.023516536
050400030201,2011,0.020795385
050400030201,2012,0.028339369
050400030201,2013,0.024947461
050400030201,2014,0.025614865
050400030201,2015,0.026465924
050400030201,2016,0.02840678
050400030201,2017,0.028745867
050400030201,2018,0.024236366
050400030201,2019,0.027440264
050400030201,2020,0.02524534
050400030202,2010,0.02562415
050400030202,2011,0.022659122
050400030202,2012,0.030879218
050400030202,2013,0.027183318
050400030202,2014,0.027910537
050400030202,2015,0.02883787
050400030202,2016,0.03095267
050400030202,2017,0.031322148
050400030202,2018,0.026408494
050400030202,2019,0.029899533
050400030202,2020,0.027507894
050400030203,2010,0.003895734
050400030203,2011,0.003610928
050400030203,2012,0.004706801
050400030203,2013,0.004241639
050400030203,2014,0.004254632
050400030203,2015,0.00505307
050400030203,2016,0.005386918
050400030203,2017,0.005277786
050400030203,2018,0.003932279
050400030203,2019,0.004320595
050400030203,2020,0.004043968
050400030301,2010,0.016332909
050400030301,2011,0.014591318
050400030301,2012,0.019285942
050400030301,2013,0.017187467
050400030301,2014,0.017568433
050400030301,2015,0.017379794
050400030301,2016,0.018482871
050400030301,2017,0.018641815
050400030301,2018,0.016656189
050400030301,2019,0.018511441
050400030301,2020,0.017078466
050400030302,2010,0.058299397
050400030302,2011,0.053152852
050400030302,2012,0.065979457
050400030302,2013,0.060345133
050400030302,2014,0.061109381
050400030302,2015,0.05481145
050400030302,2016,0.056982194
